time,lat_site_1,lon_site_1,CHL_1,lat_site_2,lon_site_2,CHL_2,lat_site_3,lon_site_3,CHL_3,lat_site_4,lon_site_4,CHL_4
2013-02-06,6.104164,116.10417,0.9217642,6.0624976,116.10417,0.90189314,6.0208306,116.10417,0.78394383,6.0208306,116.06251,0.7526196
2013-02-07,6.104164,116.10417,0.6117541,6.0624976,116.10417,0.5959505,6.0208306,116.10417,0.5704424,6.0208306,116.06251,0.55402565
2013-02-08,6.104164,116.10417,0.8761751,6.0624976,116.10417,1.0114697,6.0208306,116.10417,0.9340859,6.0208306,116.06251,0.9340859
2013-02-09,6.104164,116.10417,0.87553376,6.0624976,116.10417,1.0108705,6.0208306,116.10417,0.72591794,6.0208306,116.06251,0.93329024
2013-02-10,6.104164,116.10417,0.84800595,6.0624976,116.10417,0.8223481,6.0208306,116.10417,0.7647038,6.0208306,116.06251,0.7500334
2013-02-11,6.104164,116.10417,0.82218003,6.0624976,116.10417,0.84386826,6.0208306,116.10417,0.89251107,6.0208306,116.06251,0.8109703
2013-02-12,6.104164,116.10417,0.9368746,6.0624976,116.10417,1.8650165,6.0208306,116.10417,3.1279821,6.0208306,116.06251,2.6981003
2013-02-13,6.104164,116.10417,0.9557416,6.0624976,116.10417,0.88865125,6.0208306,116.10417,0.8930607,6.0208306,116.06251,0.8201506
2013-02-14,6.104164,116.10417,0.47522008,6.0624976,116.10417,0.44486833,6.0208306,116.10417,0.59643435,6.0208306,116.06251,0.5163091
2013-02-15,6.104164,116.10417,1.2501683,6.0624976,116.10417,1.2246923,6.0208306,116.10417,1.207833,6.0208306,116.06251,1.0917903
2013-02-16,6.104164,116.10417,0.83618426,6.0624976,116.10417,0.76942354,6.0208306,116.10417,0.7047682,6.0208306,116.06251,0.6400165
2013-02-17,6.104164,116.10417,0.83618426,6.0624976,116.10417,0.81553173,6.0208306,116.10417,0.7047682,6.0208306,116.06251,0.6400165
2013-02-18,6.104164,116.10417,0.77982074,6.0624976,116.10417,0.6957828,6.0208306,116.10417,0.6752573,6.0208306,116.06251,0.58401513
2013-02-19,6.104164,116.10417,0.76213664,6.0624976,116.10417,0.7414163,6.0208306,116.10417,0.7786757,6.0208306,116.06251,0.6698996
2013-02-20,6.104164,116.10417,0.76233107,6.0624976,116.10417,0.7789247,6.0208306,116.10417,0.7345374,6.0208306,116.06251,0.71084845
2013-02-21,6.104164,116.10417,0.7475456,6.0624976,116.10417,0.7324455,6.0208306,116.10417,0.78024465,6.0208306,116.06251,0.75951284
2013-02-22,6.104164,116.10417,0.5930383,6.0624976,116.10417,0.57529914,6.0208306,116.10417,0.6510543,6.0208306,116.06251,0.6347668
2013-02-23,6.104164,116.10417,0.5928666,6.0624976,116.10417,0.59289694,6.0208306,116.10417,0.6507534,6.0208306,116.06251,0.63431627
2013-02-24,6.104164,116.10417,0.53789663,6.0624976,116.10417,0.52671456,6.0208306,116.10417,0.5872135,6.0208306,116.06251,0.56737924
2013-02-25,6.104164,116.10417,0.4866654,6.0624976,116.10417,0.48032185,6.0208306,116.10417,0.44919243,6.0208306,116.06251,0.53591716
2013-02-26,6.104164,116.10417,0.49073443,6.0624976,116.10417,0.48799446,6.0208306,116.10417,0.48976174,6.0208306,116.06251,0.5824119
2013-02-27,6.104164,116.10417,0.5653628,6.0624976,116.10417,1.5186802,6.0208306,116.10417,3.104497,6.0208306,116.06251,2.1346505
2013-02-28,6.104164,116.10417,0.7346763,6.0624976,116.10417,1.5021483,6.0208306,116.10417,3.1224608,6.0208306,116.06251,2.2794178
2013-03-01,6.104164,116.10417,0.46848342,6.0624976,116.10417,0.50107056,6.0208306,116.10417,0.539545,6.0208306,116.06251,0.519137
2013-03-02,6.104164,116.10417,0.33612654,6.0624976,116.10417,1.5390719,6.0208306,116.10417,5.006214,6.0208306,116.06251,3.040418
